setup,date,time,counts,duration,pressure,temp,humidity
1,1,15.75,544,20,1018.3,19,56
1,1,21.5,506,20,1018.3,12,77
2,1,21.5,510,20,1017.9,12,77
1,3,15.5,498,20,1018.6,19,68
2,3,15.5,461,20,1018.6,19,68
1,3,16,530,20,1018.6,18,68
2,3,16,477,20,1018.6,18,68
1,3,16.25,121,5,1018.6,18,68
2,3,16.25,136,5,1018.6,18,68
1,3,20,120,5,1021,15,88
2,3,20,124,5,1021,15,88
1,3,20,108,5,1021,15,88
2,3,20,130,5,1021,15,88
1,3,20.25,145,5,1021,15,88
2,3,20.25,116,5,1021,15,88
1,3,21,120,5,1022,15,88
2,3,21,129,5,1022,15,88
1,3,21,122,5,1021,15,88
2,3,21,117,5,1021,15,88
1,3,21.25,113,5,1022,14,88
2,3,21.25,118,5,1022,14,88
1,5,14.5,135,5,1020,26,65
2,5,14.5,128,5,1020,26,65
1,5,14.66,122,5,1019.6,25,69
2,5,14.66,105,5,1019.6,25,69
1,5,14.83,134,5,1019.6,25,69
2,5,14.83,116,5,1019.6,25,69
1,5,15,127,5,1019.3,26,65
2,5,15,122,5,1019.3,26,65
1,5,15.08,119,5,1019.3,26,65
2,5,15.08,116,5,1019.3,26,65
1,5,15.25,125,5,1019.3,26,65
2,5,15.25,124,5,1019.3,26,65
1,5,15.42,132,5,1019.3,26,66
2,5,15.42,116,5,1019.3,26,66
1,5,15.5,115,5,1019,26,66
2,5,15.5,142,5,1019,26,66
1,5,15.66,129,5,1019,25,65
2,5,15.66,137,5,1019,25,65
1,5,15.75,130,5,1019,25,65
2,5,15.75,129,5,1019,25,65
1,5,15.92,124,5,1018.6,24,74
2,5,15.92,114,5,1018.6,24,74
1,5,16,135,5,1018.6,24,74
2,5,16,121,5,1018.6,24,74
1,5,16.08,133,5,1018.6,24,74
2,5,16.08,116,5,1018.6,24,74
3,6,21.5,117,5,1021.7,18,43
4,6,21.5,127,5,1021.7,18,43
3,6,22,93,5,1023,17,42
4,6,22,93,5,1023,17,42
3,6,22.25,94,5,1023,17,42
4,6,22.25,101,5,1023,17,42
3,6,22.42,77,5,1023,17,42
4,6,22.42,124,5,1023,17,42
3,6,22.5,99,5,1023,17,42
4,6,22.5,109,5,1023,17,42
3,6,22.58,83,5,1023,17,42
4,6,22.58,114,5,1023,17,42
3,6,22.66,70,5,1023,17,42
4,6,22.66,96,5,1023,17,42
3,6,22.75,81,5,1023.4,16,42
4,6,22.75,90,5,1023.4,16,42
3,6,23,86,5,1023.4,16,42
4,6,23,100,5,1023.4,16,42
3,6,23.08,90,5,1023.4,16,42
4,6,23.08,126,5,1023.4,16,42
3,6,23.17,86,5,1023.4,16,42
4,6,23.17,87,5,1023.4,16,42
3,6,23.25,104,5,1023.4,16,42
4,6,23.25,98,5,1023.4,16,42
3,6,23.33,96,5,1023.4,16,42
4,6,23.33,97,5,1023.4,16,42
3,6,23.42,85,5,1023.4,16,42
4,6,23.42,109,5,1023.4,16,42
3,6,23.5,100,5,1023.4,16,42
4,6,23.5,115,5,1023.4,16,42
3,6,23.75,99,5,1023.4,16,42
4,6,23.75,108,5,1023.4,16,42
3,6,23.83,92,5,1023.7,16,36
4,6,23.83,69,5,1023.7,16,36
3,6,23.92,79,5,1023.7,16,36
4,6,23.92,110,5,1023.7,16,36
3,6,24,84,5,1023.7,16,36
4,6,24,86,5,1023.7,16,36
3,6,24.08,123,5,1023.7,16,36
4,6,24.08,108,5,1023.7,16,36
3,7,10.66,81,5,1026.8,18,37
4,7,10.66,103,5,1026.8,18,37
3,7,10.75,108,5,1026.8,18,37
4,7,10.75,86,5,1026.8,18,37
3,7,10.83,91,5,1026.8,18,37
4,7,10.83,96,5,1026.8,18,37
3,7,11,99,5,1026.8,18,37
4,7,11,91,5,1026.8,18,37
3,7,11,79,5,1026.8,18,37
4,7,11,84,5,1026.8,18,37
3,7,11.1,84,5,1026.8,19,37
4,7,11.1,89,5,1026.8,19,37
3,7,11.22,90,5,1026.8,19,37
4,7,11.22,105,5,1026.8,19,37
3,7,11.28,97,5,1026.8,19,37
4,7,11.28,100,5,1026.8,19,37
3,7,11.42,109,5,1027.1,19,37
4,7,11.42,98,5,1027.1,19,37
3,7,11.5,87,5,1027.1,19,37
4,7,11.5,103,5,1027.1,19,37
3,7,11.58,99,5,1027.1,19,37
4,7,11.58,86,5,1027.1,19,37
3,7,11.66,89,5,1027.1,19,37
